Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Akil Baddoo","MIN","CF","AAA","19",0,12,"35 / 55","20 / 50","50 / 55","60 / 60","45",518,0.350775193,0.417808219,0.175799087,0.142857142,0.239382239,120.12253072735139,"22168"
"Cal Mitchell","PIT","OF","AAA","18",0,19,"20 / 50","20 / 45","50 / 55","40 / 40","40",495,0.344129554,0.426636568,0.146726862,0.082828282,0.22020202,119.56270586350584,"22169"
"Mark Vientos","NYM","3B","MLB","18",0,6,"20 / 45","20 / 55","50 / 60","30 / 30","45",262,0.389312977,0.488789237,0.201793722,0.141221374,0.164122137,131.80520840437032,"22184"
"Jeter Downs","CIN","SS","","19",0,9,"25 / 55","20 / 50","45 / 50","45 / 40","45",524,0.350574712,0.402197802,0.145054945,0.099236641,0.196564885,117.70229200320719,"22202"
"Luis Campusano","SDP","C","MLB","19",0,25,"20 / 45","20 / 50","55 / 60","50 / 40","40",284,0.345070422,0.365384615,0.076923077,0.066901408,0.15140845,105.65266179025679,"22217"
"Bubba Thompson","TEX","CF","","19",0,5,"20 / 50","20 / 50","45 / 55","70 / 70","45",363,0.344352617,0.445783132,0.156626506,0.063360881,0.286501377,125.2366255005876,"22261"
"Samad Taylor","TOR","2B","AAA","19",0,17,"20 / 50","20 / 40","40 / 45","60 / 60","40",530,0.321292775,0.389130434,0.158695652,0.107547169,0.186792452,102.9869553689267,"22274"
"Jake Burger","CHW","3B","MLB","21",0,10,"35 / 50","45 / 55","65 / 65","45 / 30","45",7,0.285714285,0.714285714,0.428571429,0,0.285714285,140.98022478598364,"22275"
"Nick Allen","OAK","SS","MLB","19",0,11,"25 / 50","20 / 30","20 / 30","50 / 50","45",528,0.30095238,0.299578059,0.061181435,0.068181818,0.162878787,72.5201579388457,"22277"
"Heliot Ramos","SFG","CF","MLB","18",0,1,"20 / 40","30 / 60","60 / 70","60 / 60","50",535,0.312734082,0.395876288,0.150515464,0.06542056,0.254205607,104.00283077349897,"22515"
"Tyler Freeman","CLE","SS","MLB","18",0,16,"25 / 55","20 / 55","45 / 50","55 / 45","40",301,0.405315614,0.511111111,0.15925926,0.026578073,0.0730897,168.2441452979178,"22532"
"Gabriel Arias","SDP","SS","MLB","18",0,10,"20 / 55","20 / 45","40 / 50","50 / 45","45",513,0.30058939,0.347732181,0.110151188,0.081871345,0.298245614,84.60202829626192,"22563"
"Alexander Canario","SFG","RF","MLB","17",0,3,"25 / 55","25 / 55","50 / 60","55 / 50","45",208,0.357487922,0.40340909,0.15340909,0.129807692,0.245192307,119.45006361137702,"22842"
"Nelson Velazquez","CHC","OF","MLB","18",0,13,"20 / 40","20 / 50","55 / 60","55 / 40","40",413,0.298543689,0.380319148,0.14893617,0.072639225,0.30024213,89.64707194439711,"23359"
"Jose Barrero","CIN","SS","MLB","19",0,7,"25 / 55","20 / 45","40 / 50","60 / 60","50",517,0.289883268,0.34439834,0.099585062,0.036750483,0.216634429,80.62279654179494,"23378"
"Ezequiel Duran","NYY","2B","MLB","18",0,14,"20 / 55","20 / 55","55 / 60","55 / 50","40",235,0.251063829,0.310502283,0.109589041,0.038297872,0.276595744,47.72783599344735,"23733"
"Kyle Higashioka","NYY","C","MLB","27",0,22,"45 / 50","45 / 50","55 / 55","30 / 30","40",229,0.289473684,0.354679802,0.142857142,0.087336244,0.205240174,80.18036459888116,"5517"
"Alexander Campos","OAK","SS","","18",0,15,"25 / 55","20 / 40","30 / 45","50 / 50","40",84,0.25,0.183098591,0.056338028,0.13095238,0.333333333,38.957443015094576,"sa3002852"
"Marcos Brito","OAK","2B","","18",0,16,"25 / 60","20 / 30","30 / 40","60 / 60","40",241,0.325,0.287735849,0.047169812,0.112033195,0.207468879,89.14163145761202,"sa3003183"
"Yunior Severino","MIN","2B","AAA","18",0,14,"20 / 40","20 / 50","55 / 60","50 / 50","45",218,0.321100917,0.424242424,0.161616162,0.077981651,0.23853211,93.46924702070424,"sa3003185"
"Freudis Nova","HOU","INF","","18",0,7,"25 / 60","20 / 50","40 / 50","60 / 50","40",159,0.333333333,0.466216216,0.155405406,0.037735849,0.132075471,120.86467601904097,"sa3003195"
"Jean Carmona","MIL","SS","","18",0,15,"20 / 40","20 / 45","45 / 55","55 / 50","40",272,0.291512915,0.366935483,0.133064516,0.069852941,0.257352941,76.71417545822428,"sa3003340"
"Tirso Ornelas","SDP","LF","AAA","18",0,11,"25 / 55","20 / 55","55 / 60","50 / 45","45",357,0.341736694,0.392282958,0.138263666,0.112044817,0.19327731,109.14118032256437,"sa3004048"
"Austin Beck","OAK","OF","","19",0,7,"20 / 40","20 / 50","55 / 60","60 / 55","45",538,0.33457249,0.381818181,0.086868687,0.057620817,0.217472118,102.44256746854164,"sa3004055"
"Jeisson Rosario","SDP","CF","AA","18",0,20,"25 / 60","30 / 50","45 / 50","55 / 55","40",527,0.366088631,0.349206349,0.081632653,0.127134724,0.208728652,108.95280921855303,"sa3004146"
"Jordy Barley","SDP","SS","","18",0,24,"20 / 40","20 / 50","50 / 55","60 / 55","40",218,0.270642201,0.328205128,0.128205128,0.068807339,0.270642201,71.41051035338283,"sa3004148"
"Blake Hunt","SDP","C","AAA","19",0,23,"20 / 50","20 / 45","55 / 60","40 / 30","40",245,0.371428571,0.376811594,0.106280194,0.110204081,0.228571428,114.75043579942988,"sa3004153"
"Chad Spanberger","COL","1B","","22",0,20,"30 / 45","40 / 55","70 / 70","40 / 40","40",510,0.35490196,0.537796976,0.239740821,0.06862745,0.205882352,149.6724758641732,"sa3004242"
"Sam McMillan","DET","C","","19",0,22,"20 / 50","20 / 40","45 / 50","40 / 30","40",203,0.311881188,0.206060606,0.048484849,0.123152709,0.231527093,72.1244044495395,"sa3004277"
"Mason House","SDP","OF","","19",0,35,"20 / 50","20 / 50","45 / 55","55 / 50","40",168,0.309523809,0.359154929,0.169014084,0.13095238,0.404761904,90.94448538339698,"sa3004278"
"Conner Uselton","PIT","OF","","19",0,18,"20 / 40","20 / 55","55 / 70","50 / 40","40",175,0.28,0.25,0.025,0.068571428,0.177142857,46.02021096723787,"sa3004502"
"Cole Brannen","BOS","OF","","19",0,10,"20 / 50","20 / 40","50 / 55","55 / 50","40",289,0.261324041,0.204724409,0.035433071,0.103806228,0.311418685,45.28462598581369,"sa3004616"
"Jacob Gonzalez","SFG","3B","","19",0,7,"20 / 50","20 / 60","55 / 70","45 / 40","40",507,0.295857988,0.331154684,0.104575164,0.061143984,0.211045364,82.71584728154104,"sa3004691"
"Quentin Holmes","CLE","CF","","18",0,19,"20 / 40","30 / 40","45 / 50","70 / 70","40",26,0.269230769,0.181818181,0.045454545,0.153846153,0.307692307,46.45273660462426,"sa3004776"
"Logan Warmoth","TOR","SS","","22",0,8,"35 / 50","30 / 45","50 / 50","50 / 50","45",338,0.330357142,0.317406143,0.068259386,0.094674556,0.215976331,91.01644509207931,"sa3004813"
"Jake Holmes","PHI","SS","A-","19",0,25,"20 / 50","20 / 50","50 / 55","60 / 55","40",245,0.364754098,0.410958904,0.105022831,0.081632653,0.171428571,124.16943613621915,"sa3004815"
"Tristen Lutz","MIL","OF","","19",68,3,"25 / 45","25 / 60","70 / 70","50 / 45","50",505,0.319444444,0.419282511,0.174887893,0.091089108,0.277227722,109.30742820787346,"sa3004968"
"Jameson Fisher","CHW","LF","","23",0,22,"40 / 55","30 / 45","45 / 45","45 / 40","40",374,0.322580645,0.322884012,0.103448276,0.117647058,0.304812834,88.24877893028648,"sa658576"
"C.J. Hinojosa","SFG","3B","","23",0,16,"40 / 55","30 / 40","45 / 45","40 / 40","40",311,0.330097087,0.358422939,0.093189965,0.083601286,0.109324758,93.94215770495398,"sa658616"
