Name,Org,Pos,Current Level,Age,Top 100,Org Rk,Hit,Game,Raw,Spd,FV,PA,OBP,SLG,ISO,BB%,K%,wRC+,playerId
"Antonio Gomez","NYY","C","A+","21.7111111",,29,"30 / 35","30 / 40","50 / 55","30 / 30","40",354,0.29059829,0.326086956,0.090062112,0.059322033,0.31638418,71.0332168496858,"sa3008746"
"Eduarqui Fernandez","MIL","RF","","21.6916666",,37,"30 / 35","30 / 50","55 / 60","70 / 70","35+",268,0.332089552,0.344827586,0.112068966,0.119402985,0.358208955,95.24930599254137,"sa3008749"
"Eduardo Garcia","MIL","SS","A+","21.0527777",,19,"30 / 35","30 / 45","45 / 55","40 / 40","40",332,0.280120481,0.328903654,0.119601329,0.078313253,0.325301204,72.51647552945579,"sa3008751"
"Warming Bernabel","COL","3B","AA","21.1472222",,13,"35 / 50","35 / 50","45 / 55","40 / 40","40+",374,0.280748663,0.36,0.125714286,0.045454545,0.200534759,71.38251954984715,"sa3008761"
"Victor Bericoto","SFG","1B","AA","21.6555555",,22,"30 / 45","35 / 55","55 / 60","40 / 40","40",519,0.32688588,0.508658008,0.238095238,0.082851637,0.223506743,120.16710167783627,"sa3008767"
"Dayan Frias","CLE","SS","AA","21.0944444",,33,"30 / 40","30 / 45","40 / 45","40 / 40","40",400,0.358395989,0.424778761,0.165191741,0.1325,0.21,120.92120932447979,"sa3008768"
"Brainer Bonaci","BOS","2B","","21.0555555",,23,"35 / 50","30 / 40","45 / 45","40 / 30","40",350,0.354285714,0.463722397,0.167192429,0.085714285,0.228571428,122.63337083661384,"sa3008836"
"Alex De Jesus","TOR","3B","AA","21.3527777",,23,"30 / 35","35 / 55","55 / 60","40 / 40","40",354,0.341807909,0.465346534,0.214521452,0.115819209,0.265536723,114.45208063672067,"sa3008842"
"Jose Ramos","LAD","RF","AA","22.5777777",,20,"30 / 40","45 / 55","60 / 60","45 / 40","40+",489,0.334702258,0.411904761,0.169047619,0.110429447,0.288343558,97.65996314662924,"sa3008845"
"Alexander Vargas","NYY","SS","AA","21.75",,44,"30 / 40","30 / 30","30 / 30","60 / 60","35+",448,0.25,0.346062052,0.138424821,0.053571428,0.258928571,60.12264960870706,"sa3008851"
"Gabriel Martinez","TOR","RF","AA","22.0138888",,14,"35 / 55","30 / 45","40 / 50","45 / 40","40+",459,0.301310043,0.369304556,0.129496403,0.074074074,0.161220043,81.61387754681573,"sa3008865"
"Brayan Buelvas","OAK","CF","AA","21.1416666",,23,"35 / 60","20 / 40","40 / 45","60 / 55","40",444,0.311512415,0.395886889,0.16966581,0.101351351,0.25,91.49789268212591,"sa3008868"
"J.J. D'Orazio","ARI","C","AA","21.5861111",,35,"25 / 55","20 / 45","45 / 50","35 / 30","35+",441,0.332574031,0.422110552,0.145728643,0.079365079,0.201814058,101.78980562134589,"sa3008876"
"Cristopher  Barete","TBR","CF","","21.6361111",,31,"35 / 50","30 / 35","30 / 35","60 / 60","40",372,0.318801089,0.319277108,0.06626506,0.083333333,0.255376344,85.97111258046363,"sa3008887"
"Leandro Pineda","PHI","RF","AA","21.1527777",,29,"30 / 40","35 / 55","45 / 60","45 / 45","35+",434,0.341013824,0.396782841,0.150134048,0.110599078,0.235023041,103.34706045438149,"sa3008905"
"Rodolfo Nolasco","PIT","RF","A+","21.85",,40,"20 / 30","35 / 50","55 / 60","50 / 40","35+",444,0.351351351,0.44011142,0.225626741,0.159909909,0.342342342,115.63030859484456,"sa3008907"
"Geraldo Quintero","ATL","2B","AA","21.8027777",,16,"35 / 50","30 / 40","40 / 40","50 / 50","40",477,0.343949044,0.321951219,0.073170732,0.117400419,0.186582809,90.86923535281721,"sa3008942"
"Carlos Dominguez","NYM","RF","","23.8",,30,"20 / 30","30 / 50","50 / 60","55 / 55","35+",188,0.319148936,0.411042944,0.184049079,0.090425531,0.329787234,97.26547521469011,"sa3009191"
"Agustin Ramirez","NYY","C","AAA","21.8861111",,13,"30 / 45","35 / 55","55 / 60","30 / 30","40+",495,0.365656565,0.457746478,0.185446009,0.125252525,0.173737373,123.82662624193377,"sa3009276"
"Miguel Palma","HOU","C","AAA","21.5694444",,28,"30 / 40","30 / 35","45 / 45","30 / 30","35+",293,0.341296928,0.424124513,0.140077821,0.081911262,0.191126279,106.4044908534387,"sa3009279"
"Eddinson Paulino","BOS","3B","AA","21.075",,14,"35 / 45","30 / 50","45 / 55","40 / 40","40+",514,0.336575875,0.420353982,0.165929204,0.099221789,0.233463035,107.5177400807822,"sa3009538"
"Nelson Quiroz","LAD","C","A+","21.7333333",,51,"35 / 50","20 / 30","30 / 35","30 / 30","35+",11,0.272727272,0,0,0.272727272,0.181818181,11.967015975438436,"sa3009565"
"Juan Brito","CLE","2B","AAA","21.8472222",,13,"35 / 60","30 / 40","40 / 45","35 / 35","45",579,0.382352941,0.427368421,0.16,0.151986183,0.153713298,126.2723712227322,"sa3009808"
"Kenedy Corona","HOU","CF","AAA","23.3555555",,10,"30 / 40","30 / 40","45 / 45","60 / 60","40+",537,0.332089552,0.452631578,0.2,0.098696461,0.266294227,104.783173798581,"sa3009845"
"Tanner Morris","TOR","LF","","25.8944444",,28,"55 / 60","30 / 30","40 / 40","40 / 40","35+",412,0.389294403,0.393063583,0.112716763,0.148058252,0.199029126,104.57858701769246,"sa3009873"
"Jairo Pomares","SFG","LF","AA","22.9861111",,30,"20 / 30","35 / 50","55 / 60","50 / 50","40",37,0.378378378,0.322580645,0.064516129,0.162162162,0.324324324,89.76310891058512,"sa3010023"
"Bryce Windham","CHC","C","","26.8444444",,41,"50 / 55","20 / 20","30 / 30","40 / 40","35+",223,0.36199095,0.366492146,0.083769633,0.116591928,0.188340807,88.28154843003135,"sa3010403"
"Colin Barber","HOU","RF","AA","22.6527777",,19,"45 / 55","30 / 40","45 / 50","50 / 50","40",325,0.356923076,0.434306569,0.189781022,0.138461538,0.224615384,110.62882169745261,"sa3010696"
"Victor Mesa Jr.","MIA","CF","AAA","21.8916666",,12,"30 / 30","30 / 40","45 / 50","60 / 60","40",545,0.310661764,0.41902834,0.172064778,0.075229357,0.227522935,92.95804240164094,"sa3010700"
"Chase Strumpf","CHC","3B","AAA","25.3916666",,35,"30 / 30","40 / 45","50 / 50","50 / 50","40",449,0.369710467,0.45,0.227777778,0.169265033,0.320712694,113.31812978544521,"sa3010845"
"Jeremy De La Rosa","WSN","RF","AA","21.5361111",,29,"20 / 30","30 / 50","55 / 60","60 / 60","35+",394,0.324873096,0.359195402,0.117816092,0.106598984,0.332487309,91.06327581180011,"sa3011329"
"Stephen Scott","BOS","C","AAA","26.1833333",,34,"40 / 45","30 / 35","45 / 45","30 / 30","35+",417,0.350119904,0.461318051,0.229226361,0.148681055,0.213429256,109.71467299435453,"sa3011469"
"Yolbert Sanchez","CHW","SS","","26.4055555",,16,"50 / 50","30 / 30","30 / 30","60 / 60","40",450,0.321428571,0.332518337,0.061124694,0.064444444,0.168888888,66.01611752918392,"sa3011471"
"Wuilfredo Antunez","CLE","CF","A+","21.2027777",,24,"30 / 50","30 / 50","45 / 50","50 / 50","40",384,0.354166666,0.420118343,0.144970415,0.1015625,0.1875,119.58286227491514,"sa3011578"
