Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Yeferson Vargas","BOS","SIRP","A","19.9722222",,47,"55 / 60","55 / 60","","30 / 40","20 / 45","35+",66.1,0.24632353,0.11397059,0.476190476,2.7135675791095775,4.327500262654651,"sa3021044"
"Luis Morales","OAK","SP","A+","21.8333333",107,3,"60 / 70","","55 / 60","35 / 55","30 / 45","50",81,0.24852071,0.10650888,0.444444444,4.222222222222222,3.775416349150516,"sa3021487"
"Carlos Castillo","PIT","SP","A","18.4722222",,29,"45 / 55","40 / 55","","35 / 50","20 / 45","40",48.2,0.19282511,0.10762332,0.406666666,4.808218675564421,4.553515556160727,"sa3021500"
"Adrian  Bohorquez","MIN","SP","A","19.3916666",,17,"55 / 60","","55 / 60","","25 / 55","40+",53,0.28310502,0.12328767,0.373983739,3.226414978228336,4.103384976685293,"sa3021501"
"Yordin Chalas","ARI","SIRP","A+","20.4777777",,17,"60 / 70","45 / 60","","","30 / 40","40+",50.2,0.32142857,0.11607143,0.463414634,4.0855260594564955,3.4275711250549667,"sa3021508"
"Enniel Cortez","MIL","SP","A","18.2305555",,39,"35 / 45","50 / 60","","45 / 60","25 / 60","35+",48,0.24056604,0.06132075,0.398601398,5.4375,4.096696234661326,"sa3021525"
"Jerson Alejandro","NYY","SP","DSL","18.4194444",,38,"40 / 55","50 / 60","","35 / 50","20 / 50","35+",37.2,0.31666667,0.18888889,0.464788732,5.0176984374867075,5.3803972873250725,"sa3021533"
"Kohl Drake","TEX","SP","AA","24.0194444",,13,"60 / 60","","50 / 55","30 / 40","50 / 60","40+",106,0.35406699,0.07416268,0.376623376,2.292452788938616,2.7931296082104256,"sa3021723"
"Michael Kennedy","PIT","SP","A+","19.65",,17,"35 / 40","50 / 55","","40 / 55","35 / 60","40",83.2,0.27777778,0.05555556,0.437788018,3.657370378966526,3.2263081217647365,"sa3021728"
"Jackson  Humphries","CLE","SP","A","20.0111111",,22,"40 / 50","45 / 60","60 / 60","35 / 45","20 / 45","40",79,0.29129129,0.12312312,0.379679144,4.556962025316456,3.7081690625299384,"sa3021729"
"Jeter Martinez","SEA","SP","CPX","18.4388888",,18,"50 / 60","50 / 60","","30 / 50","20 / 45","40",39.2,0.26630435,0.16847826,0.505263157,3.857142362560322,5.635740618232791,"sa3021738"
"David Matoma","PIT","SP","CPX","18.4777777",,14,"65 / 70","30 / 50","","","25 / 40","40+",22,0.30434783,0.09782609,0.396226415,0.8181818181818182,3.38449994887818,"sa3021761"
"Keyner Benitez","MIA","SP","A","18.1694444",,16,"40 / 50","45 / 55","","50 / 60","25 / 55","40",69.2,0.27304965,0.09929078,0.417647058,2.7129184622208107,3.5684684111670206,"sa3021795"
"Jacob Wosinski","MIN","MIRP","AA","25.375",,38,"40 / 50","45 / 55","","55 / 60","30 / 40","35+",64.1,0.23826715,0.11913357,0.380116959,4.196891523520635,4.36885015240823,"sa3021825"
"Alexis De La Cruz","PHI","SP","CPX","19.8444444",,16,"40 / 50","","45 / 60","30 / 50","20 / 45","40",18.1,0.10752688,0.20430108,0.393442622,8.836365168548094,7.6633047660819615,"sa3022007"
