Name,Org,Pos,Current Level,Age,Top 100,Org Rk,FB,SL,CB,CH,CMD,FV,IP,K%,BB%,GB%,ERA,xFIP,playerId
"Bailey Falter","PHI","SP","MLB","24.1027777",,12,"","","","","","40+",31.2,0.36507937,0.07142857,0.478873239,2.2736839822785244,2.7709248647300075,"20070"
"Mauricio Llovera","PHI","SIRP","","25.1222222",,30,"50 / 50","","45 / 45","","40 / 40","35+",52,0.21428571,0.10714286,0.356164383,3.4615384615384617,5.199012966568653,"20080"
"Nate Pearson","TOR","SP","MLB","24.7805555",9,1,"70 / 70","65 / 70","45 / 45","40 / 55","45 / 50","60",31.2,0.34074074,0.1037037,0.357142857,4.263157466772233,3.903208702797932,"20160"
"Kyle Muller","ATL","MIRP","","23.65",,7,"70 / 70","55 / 60","55 / 55","45 / 45","30 / 35","45",81.2,0.27195467,0.11898017,0.420289855,3.306122860795358,4.249544857387206,"20167"
"Zach Pop","MIA","SIRP","MLB","24.6972222",,30,"60 / 60","50 / 50","","","50 / 50","40",7.1,0.23333333,0.06666667,0.55,1.2272732991820234,3.5522937478243226,"20185"
"Brendan McKay","TBR","SP","","25.4527777",130,11,"55 / 55","","55 / 55","50 / 55","55 / 70","50",12.2,0.21666667,0.08333333,0.292682926,7.815787512180049,5.175973281558312,"20186"
"Garrett Whitlock","BOS","MIRP","MLB","24.9722222",,17,"55 / 55","50 / 50","","60 / 60","50 / 55","40+",9,0.34285714,0,0.347826086,1,2.2263544023036963,"20191"
"Ben Bowden","COL","SIRP","AAA","26.6111111",,25,"45 / 45","45 / 45","","60 / 60","40 / 40","35+",20.1,0.41891892,0.10810811,0.314285714,0.44262281242032525,3.540598264218222,"20198"
"Eli Morgan","CLE","MIRP","MLB","25.05",,43,"45 / 45","45 / 50","45 / 45","60 / 70","50 / 55","35+",23.1,0.24210526,0.11578947,0.288135593,3.8571433826369397,4.92536189709565,"20203"
"Mike Baumann","BAL","SP","","25.725",,11,"60 / 60","50 / 50","50 / 50","40 / 45","40 / 45","45",70.2,0.24738676,0.1184669,0.414772727,3.4386789977826533,4.47406820295383,"20206"
"Yennsy Diaz","NYM","SIRP","AAA","24.5444444",,21,"55 / 60","","45 / 45","55 / 55","35 / 35","35+",18.2,0.23529412,0.12941176,0.245283018,7.714288391021762,6.07139610355315,"20218"
"Tyler Ivey","HOU","MIRP","AAA","25.0527777",,10,"55 / 55","45 / 50","60 / 60","45 / 50","40 / 40","40+",18,0.275,0.1625,0.476190476,3.5,5.086005916529231,"20237"
"Zac Lowther","BAL","SP","CPX","25.0861111",,18,"40 / 40","","45 / 45","55 / 60","45 / 50","40",43.1,0.23350254,0.0964467,0.491935483,4.9846157502846165,4.506775628469879,"20243"
"Deivi Garcia","NYY","SP","AAA","22.0333333",60,2,"50 / 50","45 / 50","60 / 60","55 / 60","50 / 55","50",104.2,0.22424242,0.15353535,0.319865319,6.449045212768284,5.861013278701132,"20276"
"Cory Abbott","CHC","SP","","25.6972222",,29,"40 / 40","50 / 50","45 / 45","45 / 45","55 / 55","40",97,0.29478458,0.12244898,0.341463414,5.845360824742268,4.5765022690148704,"20277"
"Alec Bettinger","MIL","SP","","25.8833333",,30,"45 / 45","","50 / 55","","50 / 55","35+",96.2,0.23557692,0.0625,0.424028268,4.748276361744465,3.975545419672544,"20312"
"Kyle Dohy","PHI","SIRP","","24.7055555",,32,"50 / 50","40 / 40","","60 / 60","30 / 30","35+",42.2,0.35135135,0.15135135,0.414634146,2.9531255720650025,4.222427749214098,"20334"
"Matt Peacock","ARI","MIRP","","27.2611111",,32,"55 / 55","45 / 50","","50 / 55","45 / 45","40",6,0.24,0,0.421052631,9,3.751311279336612,"20339"
"Blake Cederlind","PIT","SIRP","","25.4083333",,35,"60 / 60","50 / 50","","","30 / 35","40",2.2,0.23076923,0.15384615,0.571428571,6.749991349887012,6.921586117745885,"20344"
"Riley O'Brien","CIN","SIRP","MLB","26.3194444",,20,"55 / 55","","55 / 60","45 / 50","40 / 50","40",115,0.25301205,0.1124498,0.448160535,4.4608700923703966,4.557708257879156,"20348"
"Steven Wilson","SDP","SIRP","MLB","26.7694444",,20,"60 / 60","55 / 55","","30 / 30","40 / 45","40",42,0.42771084,0.08433735,0.272727272,3.214285842009958,3.8267758867686927,"20353"
"Ramon Rosso","PHI","MIRP","","24.9777777",,36,"","50 / 50","","","40 / 40","35+",34.1,0.20886076,0.13291139,0.43298969,3.9320391990179413,5.5149745902043374,"20368"
"Matt Manning","DET","SP","MLB","23.3416666",19,2,"60 / 60","","60 / 60","50 / 55","45 / 55","60",41.1,0.24043716,0.08196721,0.406504065,7.40322671745383,4.369463224119338,"20369"
"Bruce Zimmermann","BAL","SP","AAA","26.3111111",,28,"40 / 40","50 / 55","50 / 50","40 / 45","60 / 60","40",34.2,0.25531915,0.07801418,0.436170212,3.8942315102109895,4.329666523905894,"20370"
"Antonio Santos","COL","SIRP","AA","24.6527777",,28,"55 / 55","50 / 50","45 / 45","50 / 50","40 / 40","35+",46.1,0.15137615,0.12385321,0.415584415,8.158274276873282,6.443826111848415,"20383"
"Isaac Mattson","BAL","SIRP","MLB","25.8805555",,25,"55 / 55","55 / 55","","40 / 45","45 / 45","40",22,0.26470588,0.08823529,0.34375,6.136363636363637,4.304257385922458,"20385"
"Josh Fleming","TBR","SP","MLB","25.0361111",,28,"40 / 40","","","50 / 50","70 / 70","40",18.2,0.29850746,0.02985075,0.604651162,0.48214277503443187,2.9210140659190653,"20418"
"Jovani Moran","MIN","SIRP","MLB","24.1027777",,26,"45 / 45","45 / 45","","70 / 70","40 / 40","40",67.1,0.41762452,0.12260536,0.455357142,2.4059402987298504,2.749524625110313,"20422"
"Peter Solomon","HOU","SP","","24.7916666",,9,"50 / 50","50 / 50","50 / 50","55 / 60","40 / 45","40+",104,0.26769912,0.09955752,0.354838709,4.67307752300304,5.093453707842457,"20476"
"J.B. Bukauskas","ARI","SIRP","AAA","24.6388888",,21,"50 / 50","45 / 45","","70 / 70","40 / 40","40",20.1,0.39473684,0.05263158,0.463414634,2.6557368745219514,2.920819319475017,"20491"
"Casey Mize","DET","SP","MLB","24.0833333",30,5,"55 / 55","60 / 60","","","55 / 60","55",18.2,0.30337079,0.12359551,0.346938775,7.232141625516478,4.409856546107251,"20492"
